Variable_Code,Category,Type,Value,Margin_of_Error,ZIP
DP04_0122E,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 25.0 to 29.9 percent,Estimate,81,83,29690
DP04_0122PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 25.0 to 29.9 percent,Percent,2.4,2.4,29690
DP04_0123E,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 30.0 to 34.9 percent,Estimate,112,85,29690
DP04_0123PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 30.0 to 34.9 percent,Percent,3.4,2.4,29690
DP04_0124E,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 35.0 percent or more,Estimate,208,79,29690
DP04_0124PE,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > 35.0 percent or more,Percent,6.2,2.5,29690
DP04_0125E,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) > Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) > Not computed,Estimate,29,39,29690
DP04_0126E,GROSS RENT > Occupied units paying rent,Estimate,1490,243,29690
DP04_0126PE,GROSS RENT > Occupied units paying rent,Percent,1490,,29690
DP04_0127E,GROSS RENT > Occupied units paying rent > Less than $500,Estimate,119,73,29690
DP04_0127PE,GROSS RENT > Occupied units paying rent > Less than $500,Percent,8.0,4.9,29690
DP04_0128E,GROSS RENT > Occupied units paying rent > $500 to $999,Estimate,672,217,29690
DP04_0128PE,GROSS RENT > Occupied units paying rent > $500 to $999,Percent,45.1,11.7,29690
DP04_0129E,"GROSS RENT > Occupied units paying rent > $1,000 to $1,499",Estimate,592,192,29690
DP04_0129PE,"GROSS RENT > Occupied units paying rent > $1,000 to $1,499",Percent,39.7,11.9,29690
DP04_0130E,"GROSS RENT > Occupied units paying rent > $1,500 to $1,999",Estimate,90,87,29690
DP04_0130PE,"GROSS RENT > Occupied units paying rent > $1,500 to $1,999",Percent,6.0,5.7,29690
DP04_0131E,"GROSS RENT > Occupied units paying rent > $2,000 to $2,499",Estimate,0,25,29690
DP04_0131PE,"GROSS RENT > Occupied units paying rent > $2,000 to $2,499",Percent,0.0,2.8,29690
DP04_0132E,"GROSS RENT > Occupied units paying rent > $2,500 to $2,999",Estimate,17,26,29690
DP04_0132PE,"GROSS RENT > Occupied units paying rent > $2,500 to $2,999",Percent,1.1,1.7,29690
DP04_0133E,"GROSS RENT > Occupied units paying rent > $3,000 or more",Estimate,0,25,29690
DP04_0133PE,"GROSS RENT > Occupied units paying rent > $3,000 or more",Percent,0.0,2.8,29690
DP04_0134E,GROSS RENT > Occupied units paying rent > Median (dollars),Estimate,931,195,29690
DP04_0135E,GROSS RENT > Occupied units paying rent > No rent paid,Estimate,204,128,29690
DP04_0136E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed),Estimate,1490,243,29690
DP04_0136PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed),Percent,1490,,29690
DP04_0137E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > Less than 15.0 percent,Estimate,142,86,29690
DP04_0137PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > Less than 15.0 percent,Percent,9.5,6.0,29690
DP04_0138E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 15.0 to 19.9 percent,Estimate,169,78,29690
DP04_0138PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 15.0 to 19.9 percent,Percent,11.3,5.2,29690
DP04_0139E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 20.0 to 24.9 percent,Estimate,110,71,29690
DP04_0139PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 20.0 to 24.9 percent,Percent,7.4,4.6,29690
DP04_0140E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 25.0 to 29.9 percent,Estimate,120,109,29690
DP04_0140PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 25.0 to 29.9 percent,Percent,8.1,6.8,29690
DP04_0141E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 30.0 to 34.9 percent,Estimate,180,115,29690
DP04_0141PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 30.0 to 34.9 percent,Percent,12.1,7.4,29690
DP04_0142E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 35.0 percent or more,Estimate,769,215,29690
DP04_0142PE,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > 35.0 percent or more,Percent,51.6,11.9,29690
DP04_0143E,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) > Occupied units paying rent (excluding units where GRAPI cannot be computed) > Not computed,Estimate,204,128,29690
